Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Atrybut
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2015;359;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2016;386;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2017;372;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2018;383;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2019;342;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2020;282;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2021;307;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2022;425;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2023;387;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2014;189;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2015;170;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2016;159;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2017;154;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2018;142;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2019;143;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2020;97;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2021;105;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2022;106;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2023;87;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2014;116;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2015;104;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2016;95;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2017;82;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2018;79;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2019;83;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2020;49;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2021;63;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2022;55;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2023;46;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2014;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2015;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2016;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2017;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2018;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2019;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2020;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2021;42;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2022;51;szt.; 
0200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2023;41;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2014;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2015;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2016;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2017;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2018;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2019;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2020;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2021;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2022;-;szt.; 
0200000;DOLNOŚLĄSKIE;wina pasażerów;2023;5;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2014;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2015;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2016;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2017;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2018;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2019;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2020;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2021;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2022;-;szt.; 
0200000;DOLNOŚLĄSKIE;współwina;2023;23;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2014;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2015;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2016;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2017;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2018;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2019;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2020;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2021;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2022;-;szt.; 
0200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2023;25;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2014;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2015;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2016;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2017;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2018;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2019;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2020;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2021;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2022;-;szt.; 
0400000;KUJAWSKO-POMORSKIE;ogółem;2023;784;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2014;854;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2015;824;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2016;881;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2017;822;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2018;825;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2019;839;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2020;746;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2021;727;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2022;709;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2023;693;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2014;229;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2015;199;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2016;208;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2017;199;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2018;187;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2019;178;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2020;205;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2021;191;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2022;176;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2023;115;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2014;193;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2015;231;szt.; 
0400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2016;226;szt.; 
