Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2015;104;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2016;95;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2017;82;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2018;79;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2019;83;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2020;49;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2021;63;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2022;55;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2023;46;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2014;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2015;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2016;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2017;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2018;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2019;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2020;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2021;42;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2022;51;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - pozostałe;2023;41;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2014;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2015;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2016;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2017;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2018;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2019;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2020;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2021;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2022;-;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pasażerów;2023;5;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2014;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2015;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2016;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2017;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2018;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2019;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2020;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2021;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2022;-;szt.;województwo
200000;DOLNOŚLĄSKIE;współwina;2023;23;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2014;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2015;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2016;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2017;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2018;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2019;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2020;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2021;-;szt.;województwo
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2022;-;szt.;województwo
